player_id,team_id,jersey_no,player_name,posi_to_play,dir_of_bir,age,playing_club,match_no,team_id,player_id,in_out,time_in_out,play_schedule,play_half
160191,1209,23,Roland Juhasz,DF,7/1/1983,32,Videoton,18,1213,160288,O,87,NT,2
160208,1210,1,Hannes Halldorsson,GK,4/27/1984,32,Bodo/Glimt,19,1211,160253,I,60,NT,2
160216,1210,2,Birkir Saevarsson,DF,11/11/1984,31,Hammarby,19,1211,160252,O,60,NT,2
160212,1210,3,Haukur Heidar Hauksson,DF,9/1/1991,24,AIK,19,1211,160245,I,74,NT,2
160213,1210,4,Hjortur Hermannsson,DF,2/8/1995,21,Goteborg,19,1211,160242,O,74,NT,2
160214,1210,5,Sverrir Ingason,DF,8/5/1993,22,Lokeren,19,1211,160247,I,85,NT,2
160217,1210,6,Ragnar Sigurdsson,DF,6/19/1986,29,Krasnodar,19,1211,160243,O,85,NT,2
160229,1210,7,Johann Gudmundsson,FD,10/27/1990,25,Charlton,19,1220,160455,I,79,NT,2
160221,1210,8,Birkir Bjarnason,MF,5/27/1988,28,Basel,19,1220,160448,I,79,NT,2
160230,1210,9,Kolbeinn Sigthorsson,FD,3/14/1990,26,Nantes,19,1220,160449,O,79,NT,2
160224,1210,10,Gylfi Sigurdsson,MF,9/8/1989,26,Swansea,19,1220,160451,O,79,NT,2
160227,1210,11,Alfred Finnbogason,FD,2/1/1989,27,Augsburg,19,1220,160457,I,85,NT,2
160210,1210,12,Ogmundur Kristinsson,GK,6/19/1989,26,Hammarby,19,1220,160458,O,85,NT,2
160209,1210,13,Ingvar Jonsson,GK,10/18/1989,26,Sandefjord,20,1204,160083,I,62,NT,2
160220,1210,14,Kari Arnason,MF,10/13/1982,33,Malmo,20,1204,160084,O,62,NT,2
160226,1210,15,Jon Dadi Bodvarsson,FD,5/25/1992,24,Kaiserslautern,20,1204,160075,I,90,NT,2
160225,1210,16,Runar Mar Sigurjonsson,MF,6/18/1990,26,Sundsvall,20,1204,160086,O,90,NT,2
160222,1210,17,Aron Gunnarsson,MF,4/22/1989,27,Cardiff,20,1204,160079,I,2,ST,2
160211,1210,18,Elmar Bjarnason,DF,3/4/1987,29,AGF,20,1204,160077,O,2,ST,2
160215,1210,19,Hordur Magnusson,DF,2/11/1993,23,Cesena,20,1205,160115,I,67,NT,2
160223,1210,20,Emil Hallfredsson,MF,6/29/1984,31,Udinese,20,1205,160112,I,67,NT,2
160219,1210,21,Arnor Ingvi Traustason,DF,4/30/1993,23,Norrkoping,20,1205,160113,O,67,NT,2
160228,1210,22,Eidur Gudjohnsen,FD,9/15/1978,37,Molde,20,1205,160111,O,67,NT,2
160218,1210,23,Ari Skulason,DF,5/14/1987,29,OB,20,1205,160114,I,86,NT,2
160231,1211,1,Gianluigi Buffon,GK,1/28/1978,38,Juventus,20,1205,160108,O,86,NT,2
160238,1211,2,Mattia De Sciglio,DF,10/20/1992,23,Milan,21,1219,160426,I,64,NT,2
160236,1211,3,Giorgio Chiellini,DF,8/14/1984,31,Juventus,21,1219,160431,O,64,NT,2
160237,1211,4,Matteo Darmian,DF,12/2/1989,26,Man. United,21,1219,160430,I,71,NT,2
160239,1211,5,Angelo Ogbonna,DF,5/23/1988,28,West Ham,21,1219,160428,O,71,NT,2
160241,1211,6,Antonio Candreva,MF,2/28/1987,29,Lazio,21,1219,160418,I,81,NT,2
160253,1211,7,Simone Zaza,FD,6/25/1991,24,Juventus,21,1219,160421,O,81,NT,2
160243,1211,8,Alessandro Florenzi,MF,3/11/1991,25,Roma,21,1222,160497,I,46,NT,2
160252,1211,9,Graziano Pelle,FD,7/15/1985,30,Southampton,21,1222,160495,O,46,NT,2
160245,1211,10,Thiago Motta,MF,8/28/1982,33,Paris,21,1222,160499,I,62,NT,2
160250,1211,11,Ciro Immobile,FD,2/20/1990,26,Torino,21,1222,160498,O,62,NT,2
160233,1211,12,Salvatore Sirigu,GK,1/12/1987,29,Paris,21,1222,160503,I,70,NT,2
160232,1211,13,Federico Marchetti,GK,2/7/1983,33,Lazio,21,1222,160501,O,70,NT,2
160247,1211,14,Stefano Sturaro,MF,3/9/1993,23,Juventus,22,1203,160063,I,57,NT,2
160234,1211,15,Andrea Barzagli,DF,5/8/1981,35,Juventus,22,1203,160060,O,57,NT,2
160242,1211,16,Daniele De Rossi,MF,7/24/1983,32,Roma,22,1203,160068,I,64,NT,2
160248,1211,17,Eder,FD,11/15/1986,29,Internazionale,22,1203,160058,O,64,NT,2
160246,1211,18,Marco Parolo,MF,1/25/1985,31,Lazio,22,1203,160066,I,83,NT,2
160235,1211,19,Leonardo Bonucci,DF,5/1/1987,29,Juventus,22,1203,160067,O,83,NT,2
160251,1211,20,Lorenzo Insigne,FD,6/4/1991,25,Napoli,22,1215,160337,I,62,NT,2
160240,1211,21,Federico Bernardeschi,MF,2/16/1994,22,Fiorentina,22,1215,160336,O,62,NT,2
160249,1211,22,Stephan El Shaarawy,FD,10/27/1992,23,Roma,22,1215,160338,I,71,NT,2
160244,1211,23,Emanuele Giaccherini,MF,5/5/1985,31,Bologna,22,1215,160335,O,71,NT,2
160256,1212,1,Michael McGovern,GK,7/12/1984,31,Hamilton,22,1215,160342,I,79,NT,2
160264,1212,2,Conor McLaughlin,DF,7/26/1991,24,Fleetwood,22,1215,160343,O,79,NT,2
160269,1212,3,Shane Ferguson,MF,7/12/1991,24,Millwall,23,1209,160201,I,66,NT,2
160262,1212,4,Gareth McAuley,DF,12/5/1979,36,West Brom,23,1209,160205,I,66,NT,2
160259,1212,5,Jonny Evans,DF,1/3/1988,28,West Brom,23,1209,160206,O,66,NT,2
160257,1212,6,Chris Baird,DF,2/25/1982,34,Fulham,23,1209,160200,O,66,NT,2
160275,1212,7,Niall McGinn,FD,7/20/1987,28,Aberdeen,23,1209,160207,I,84,NT,2
160267,1212,8,Steven Davis,MF,1/1/1985,31,Southampton,23,1209,160191,O,84,NT,2
